scope,lang,grade,subject,count,hit@1,coverage@5,mrr@5
global,,,,12,0.0,0.0,0.0
lang,lingala,,,2,0.0,0.0,0.0
lang_grade,lingala,4e_primaire,,1,0.0,0.0,0.0
lang_subject,lingala,mathématiques,,1,0.0,0.0,0.0
lang_grade,lingala,6e_primaire,,1,0.0,0.0,0.0
lang_subject,lingala,français,,1,0.0,0.0,0.0
lang,kikongo,,,2,0.0,0.0,0.0
lang_grade,kikongo,3e_primaire,,1,0.0,0.0,0.0
lang_subject,kikongo,mathématiques,,1,0.0,0.0,0.0
lang_grade,kikongo,5e_primaire,,1,0.0,0.0,0.0
lang_subject,kikongo,sciences,,1,0.0,0.0,0.0
lang,swahili,,,2,0.0,0.0,0.0
lang_grade,swahili,5e_primaire,,1,0.0,0.0,0.0
lang_subject,swahili,mathématiques,,1,0.0,0.0,0.0
lang_grade,swahili,6e_primaire,,1,0.0,0.0,0.0
lang_subject,swahili,histoire,,1,0.0,0.0,0.0
lang,tshiluba,,,2,0.0,0.0,0.0
lang_grade,tshiluba,6e_primaire,,1,0.0,0.0,0.0
lang_subject,tshiluba,sciences,,1,0.0,0.0,0.0
lang_grade,tshiluba,5e_primaire,,1,0.0,0.0,0.0
lang_subject,tshiluba,français,,1,0.0,0.0,0.0
lang,français,,,2,0.0,0.0,0.0
lang_grade,français,2e_primaire,,1,0.0,0.0,0.0
lang_subject,français,mathématiques,,1,0.0,0.0,0.0
lang_grade,français,4e_primaire,,1,0.0,0.0,0.0
lang_subject,français,sciences,,1,0.0,0.0,0.0
lang,anglais,,,2,0.0,0.0,0.0
lang_grade,anglais,5e_secondaire,,1,0.0,0.0,0.0
lang_subject,anglais,mathematics,,1,0.0,0.0,0.0
lang_grade,anglais,3e_secondaire,,1,0.0,0.0,0.0
lang_subject,anglais,science,,1,0.0,0.0,0.0
