id,status,from,to,subject,cycle_or_level
LN_MATH_001,kept,MEPST_Programmes-Educatifs_4e-Sec_2-HS_MATH.pdf#p.12,MEPST_Programmes-Educatifs_4e-Sec_2-HS_MATH.pdf#p.12,mathématiques,"4eme_PR,4e_PR,4eme,4e"
LN_FR_002,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.7,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.7,français,"6eme_PR,6e_PR,6eme,6e"
KK_MATH_003,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_MATH.pdf#p.9,MEPST_Programmes-Educatifs_3e-Sec_1-HS_MATH.pdf#p.9,mathématiques,"3eme_PR,3e_PR,3eme,3e"
KK_SCI_004,kept,MEPST_Programmes-Educatifs_5e-Sec_3-HS_SVT.pdf#p.14,MEPST_Programmes-Educatifs_5e-Sec_3-HS_SVT.pdf#p.14,sciences,"5eme_PR,5e_PR,5eme,5e"
SW_MATH_005,kept,MEPST_Programmes-Educatifs_5e-Sec_3-HS_MATH.pdf#p.11,MEPST_Programmes-Educatifs_5e-Sec_3-HS_MATH.pdf#p.11,mathématiques,"5eme_PR,5e_PR,5eme,5e"
SW_HIST_006,kept,MEPST_Programmes-Educatifs_6e-Sec_4-HS_SVT.pdf#p.18,MEPST_Programmes-Educatifs_6e-Sec_4-HS_SVT.pdf#p.18,histoire-géo,"6eme_PR,6e_PR,6eme,6e"
TSH_SCI_007,kept,MEPST_Programmes-Educatifs_6e-Sec_4-HS_SVT.pdf#p.10,MEPST_Programmes-Educatifs_6e-Sec_4-HS_SVT.pdf#p.10,sciences,"6eme_PR,6e_PR,6eme,6e"
TSH_FR_008,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.6,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.6,français,"5eme_PR,5e_PR,5eme,5e"
FR_MATH_009,kept,MEPST_GUIDE_PE4_MATH.pdf#p.8,MEPST_GUIDE_PE4_MATH.pdf#p.8,mathématiques,"2eme_PR,2e_PR,2eme,2e"
FR_SCI_010,kept,MEPST_Programmes-Educatifs_4e-Sec_2-HS_SVT.pdf#p.5,MEPST_Programmes-Educatifs_4e-Sec_2-HS_SVT.pdf#p.5,sciences,"4eme_PR,4e_PR,4eme,4e"
