id,titre,source_url,langue,grade_level,matiere,type_doc,file_path,checksum,licence,ingested,validated,notes,cycle,niveau,source,path
doc_0001,Guide de leducateur   Alphabetisation fonctionnelle,https://edu-nc.gouv.cd/programmes-scolaires,français,,,guide,guides_pedagogiques\Guide-de-leducateur-_-Alphabetisation-fonctionnelle.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,guides_pedagogiques\Guide-de-leducateur-_-Alphabetisation-fonctionnelle.pdf
doc_0002,Guide de leducateur   Alphabetisation initiale,https://edu-nc.gouv.cd/programmes-scolaires,français,,,guide,guides_pedagogiques\Guide-de-leducateur-_-Alphabetisation-initiale.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,guides_pedagogiques\Guide-de-leducateur-_-Alphabetisation-initiale.pdf
doc_0003,Guide de leducateur   Francais CRS N2,https://edu-nc.gouv.cd/programmes-scolaires,français,CRS,,guide,guides_pedagogiques\Guide-de-leducateur-_-Francais-CRS-N2.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,guides_pedagogiques\Guide-de-leducateur-_-Francais-CRS-N2.pdf
doc_0004,Guide de leducateur   Francais oral CRS N1,https://edu-nc.gouv.cd/programmes-scolaires,français,CRS,,guide,guides_pedagogiques\Guide-de-leducateur-_-Francais-oral-CRS-N1.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,guides_pedagogiques\Guide-de-leducateur-_-Francais-oral-CRS-N1.pdf
doc_0005,GUIDE PE8 MATHs 116062019 DIPROMAD MEPSP,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\8eme_EB\maths\GUIDE-PE8-MATHs-116062019_DIPROMAD_MEPSP.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\8eme_EB\maths\GUIDE-PE8-MATHs-116062019_DIPROMAD_MEPSP.pdf
doc_0006,PE8 MATH 16062019 DIPROMAD MEPSP,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\8eme_EB\maths\PE8-MATH-16062019_DIPROMAD_MEPSP.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\8eme_EB\maths\PE8-MATH-16062019_DIPROMAD_MEPSP.pdf
doc_0007,GUIDE PE8 SPTTIC 16062019 DIPROMAD MEPSP,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\8eme_EB\spttic\GUIDE-PE8-SPTTIC-16062019_DIPROMAD_MEPSP.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\8eme_EB\spttic\GUIDE-PE8-SPTTIC-16062019_DIPROMAD_MEPSP.pdf
doc_0008,PE8 SPTTIC 16062019 DIPROMAD MEPSP,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\8eme_EB\spttic\PE8-SPTTIC-16062019_DIPROMAD_MEPSP.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\8eme_EB\spttic\PE8-SPTTIC-16062019_DIPROMAD_MEPSP.pdf
doc_0009,GUIDE PE8 SVT 16062019 DIPROMAD MEPSP,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\8eme_EB\svt\GUIDE-PE8-SVT-16062019_DIPROMAD_MEPSP.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\8eme_EB\svt\GUIDE-PE8-SVT-16062019_DIPROMAD_MEPSP.pdf
doc_0010,PE8 SVT 16062019 DIPROMAD MEPSP,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,secondaire\8eme_EB\svt\PE8-SVT-16062019_DIPROMAD_MEPSP.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,secondaire\8eme_EB\svt\PE8-SVT-16062019_DIPROMAD_MEPSP.pdf
